row,col,filename,nonzero_pixels
48,5,tile_r48_c05.png,1980
48,6,tile_r48_c06.png,1980
48,8,tile_r48_c08.png,954
48,9,tile_r48_c09.png,1026
48,10,tile_r48_c10.png,954
48,11,tile_r48_c11.png,1026
48,12,tile_r48_c12.png,909
48,13,tile_r48_c13.png,1800
49,0,tile_r49_c00.png,1152
49,2,tile_r49_c02.png,2304
49,3,tile_r49_c03.png,2304
49,8,tile_r49_c08.png,1089
49,9,tile_r49_c09.png,1035
49,10,tile_r49_c10.png,1089
49,11,tile_r49_c11.png,1035
49,12,tile_r49_c12.png,945
49,13,tile_r49_c13.png,792
50,0,tile_r50_c00.png,2304
50,1,tile_r50_c01.png,2304
50,2,tile_r50_c02.png,432
50,3,tile_r50_c03.png,108
50,8,tile_r50_c08.png,954
50,9,tile_r50_c09.png,1026
50,10,tile_r50_c10.png,954
50,11,tile_r50_c11.png,1026
50,12,tile_r50_c12.png,1782
50,13,tile_r50_c13.png,1755
51,0,tile_r51_c00.png,2088
51,1,tile_r51_c01.png,1980
51,2,tile_r51_c02.png,1980
